Palavra,Sinônimos
ABSTERSO,"terso , polido , brilhante , alvo, cândido , branco , limpo , límpido , lustroso, fúlgido , fulgente , refulgente , brunido , luzido , luzidio , luzente , reluzente , lúcido, nítido , nitente"
ABSTINENTE,"abstêmio , frugal , sóbrio , abstido , continente , temperante , temperado, moderado , parco , comedido"
ABSTRATO,abstruso
ABUNDÂNCIA,"fartura , riqueza , opulência"
ABUSÃO,"patranha , peta , crendice , superstição , prejuízo , preconceito , prevenção, preocupação , fanatismo"
ACABAR,"perecer , falecer , morrer , fenecer , finar-se , extinguir-se , expirar"
ACABADO,"perfeito , completo , magistral , cabal , pleno"
ACABRUNHAR,"amofinar , afligir , oprimir, humilhar , entristecer , contristar , vexar, magoar , desgostar , molestar , aborrecer, apoquentar , importunar , mortificar , angustiar , atormentar , agoniar , amargurar, consternar , inquietar , incomodar"
ACADEMIA,"escola , instituto , universidade, colégio , ginásio , liceu"
ACALENTAR,"amimar , consolar , agradar , afagar , ameigar , acariciar , acarinhar , acaridar"
ACAMPAMENTO,"arraial , bivaque"
ACANHADO,"tímido , vergonhoso , modesto , apoucado , pudico , pudibundo, acanhamento , timidez , vergonha , modéstia , apoucamento , pudor , pudicícia , pudor e pundonor , pundonoroso"
AÇÃO,"demanda , litígio , processo , pleito , questão , querela"
ACASO,"por acaso , porventura"
ACATAR,"acatamento , respeito , respeitar , veneração , venerar , reverência , reverenciar , deferência , deferir"
ACAUTELADO,"cauto , cauteloso , prevenido , precavido , precatado , avisado , prudente , previdente , cautela , prevenção , sobreaviso , precaução , aviso , prudência , previdência , acautelar , prevenir , precaver , precatar , avisar , prever"
ACEPÇÃO,"significação , sentido"
ACEDER,"aquiescer , consentir , aderir , condescender , concordar , anuir , conformar-se, assentir"
ACEITAR,"receber , tomar"
ACELERAR,"apressar , apressurar , ativar , aligeirar , precipitar"
ACENTO,pronúncia
ACERBO,"azedo , ácido , acre , acérrimo , agro, acrimonioso , travoso , travento , áspero, amargo , amargoso"
ACERTAR,"atinar , adivinhar"
ACESSÓRIO,"secundário , contingente , subse civo, sobressalente"
ACHADO,"invento , invenção , descoberta , descobrimento"
ACHAR,"encontrar , deparar , descobrir , inventar"
ACHAQUE,"moléstia , enfermidade , doença, incômodo , indisposição , mal"
ACIDENTAL,"fortuito , imprevisto , inesperado , inopinado , eventual , contingente, casual , ocasional , aleatório , incerto"
ACIDENTE,"desastre , desgraça , catástrofe , revés , calamidade"
ACLAMAR,"vitoriar , aplaudir , proclamar , glorificar"
ACLARAR,"esclarecer , elucidar , ilustrar , alumiar , iluminar , explicar , explanar"
ACOBARDAR,"intimidar , amedrontar , atemorizar , assustar , aterrar , aterrorizar , espavorir , apavorar , quebrantar"
AÇÕES,"fatos , feitos , façanhas , proezas"
ACOITAR,"acoitar-se , asilar , asilar-se , esconder , esconder-se , ocultar , ocultar-se , refugiar-se , abrigar , abrigar-se , homiziar , homiziar-se"
AÇOITAR,"vergastar , chicotar , azorragar , zurzir , surrar , chibatar , flagelar , fustigar"
ACOMODAR,"adequar , adaptar , ajustar , apropriar"
ACOMPANHAR,"seguir , escoltar , comboiar"
ACONSELHAR,"sugerir , insinuar , guiar , inspirar , persuadir"
ACONTECER,"suceder , ocorrer , dar-se , passar-se"
ACORDAR,despertar
ACOROÇOAR,"alentar , animar , induzir , incitar"
ACORRER,"acudir , afluir"
ACOSSAR,perseguir
ACRESCENTAR,"ajuntar , juntar , adicionar , adir , aditar , agregar"
ACREDITAR,crer
ACRO,"quebradiço , frágil"
ACUDIR,"socorrer , auxiliar , amparar , proteger , defender , ajudar , salvar , valer"
ACUSAR,"criminar , incriminar , culpar , inculpar , arguir"
ADARGA,"escudo , broquel , rodela , pavês , égide"
ADIÇÃO,"soma , total"
ADIANTAR,antecipar
ADEPTO,"sectário , iniciado , partidário , partidista , assecla , sequaz , ade-rente , faccionário , faccioso , parcial , seita , facção , partido , parcialidade"
ADEREÇAR,"enfeitar , adornar , ornar , ornamentar , ataviar , embelezar , embelecer , aformosear , engalanar , alindar , decorar , aprimorar , adorno , enfeite , ornato , atavio, adereço , ornamento , decoração , gala, primor"
ADESTRAR,"exercitar , instruir , ensinar , desembaraçar"
ADIAR,"transferir , diferir , dilatar , demorar, retardar , protelar , remanchar , aprazar , procrastinar , espaçar , estirar , prorrogar , contemporizar , ampliar , alongar , delongar, prolongar"
ADIVINHAR,"agoirar , profetizar , vaticinar , prognosticar , pressagiar , predizer , agoiro , adivinhação , profecia , vaticínio , prognóstico, presságio , predição"
ADIVINHO,"bruxo , feiticeiro , mandingueiro , mágico , astrólogo , quiromante , necromante , haríolo , profeta , vate"
ADJACENTE,"contíguo , vizinho , próximo , junto , confim , confinante , fronteiro , limítrofe, imediato , unido , pegado , chegado"
ADJETIVO,epíteto
ADJUNTO,adido
ADJURAR,"conjurar , esconjurar , exorcizar"
ADMIRAÇÃO,"pasmo , espanto , assombro , susto , maravilha , arrebatamento , transporte , arroubo , êxtase , entusiasmo , enlevo , surpresa , admirado , pasmado , espantado , assombrado , assustado , maravilhado , arrebatado , transportado , arroubado , extasiado , entusiasmado , surpreendido , enlevado"
ADMIRAR,"apreciar , contemplar , considerar , examinar , ver, olhar , encarar , fitar, observar"
ADMITIR,"permitir , consentir , tolerar"
ADMOESTAR,"advertir , repreender , censurar , arguir , avisar , aconselhar , verberar , estigmatizar"
ADOECER,enfermar
ADOLESCÊNCIA,"juventude , mocidade , puberdade , mancebia , adolescente , jovem , moço , púbere , mancebo"
ADORAÇÃO,"reverência , veneração , acatamento , respeito , honra , homenagem , adorar, honrar , venerar , reverenciar , acatar , respeitar , adorável , venerável , venerando , acatável , respeitável"
ADUANA,"alfândega , aduaneiro , alfandegário"
ADUBAR,"temperar , condimentar , adubo , tempero , condimento"
ADULAR,"lisonjear , louvaminhar , bajular , engrossar , adulador , lisonjeiro , louvaminheiro , bajulador , engrossador"
ADULTERAR,"contrafazer , falsificar , imitar"
ADUNAR,"aunar , coadunar , unir , reunir , unificar , ligar , aliar , coligar , incorporar , agregar , congregar , ajuntar , agrupar"
ADUNCO,"curvo , recurvado , arcado , arqueado"
ADUZIR,alegar
ADVENTÍCIO,"ádvena , alienígena , forasteiro, estrangeiro"
ADVERSO,"oposto , contrário , desfavorável"
ADVERSIDADE,"sorte adversa , desgraça , desdita , infelicidade , infortúnio , desfortuna , desventura , caiporismo , calamidade , desgraçado , desditoso , infeliz , infortunado , desfortunado , desafortunado , mal-afortunado , desventurado , desaventurado , mal-aventurado , caipora"
ADVOCACIA,advocatura
ADVOGADO,"patrono , patrocinador , padroeiro , defensor , protetor , intercessor , mediador , medianeiro , intermediário , interventor"
AFABILIDADE,"agrado , amabilidade , civilidade , urbanidade , polidez , cortesia , cortesania , delicadeza , benignidade , benevolência , carinho , afeição , complacência , bondade , fineza , ternura , meiguice , indulgência , afável , agradável , amável , civil , urbano , polido , cortês , cortesão , delicado , benigno , benévolo , benevolente , carinhoso , afetuoso , complacente , bom , fino, bondoso, obsequioso , terno , meigo , indulgente , amistoso"
AFASIA,"afonia , mudez , afásico , afônico , mudo"
AFÃ,"azáfama , faina, lida, fadiga , afadigamento , aforçuramento , luta , trabalho , labor , laboração , labuta , labutação , lucubração"
AFASTAR,"retirar , arredar , desviar , deslocar, descaminhar , apartar, separar"
AFERRO,apego
AFERROLHAR,"fechar , trancar , ferrolho , fecho , tranca"
AFETAÇÃO,"fingimento , disfarce , simulação, dissimulação , contrafação , aparência , fantasia , afetar , fingir , disfarçar , simular , dissimular , contrafazer , aparentar , fantasiar , afetado , fingido , disfarçado , simulado , dissimulado, contrafeito , aparente , fantasiado"
AFETIVO,afetuoso
AFETOS,paixões
AFETUOSO,apaixonado
AFINIDADE,"agnação , cognação , consanguinidade , afim , ágnato , cognato"
AFIRMAR,"dizer , confirmar , ratificar , corroborar , comprovar , demonstrar , assegurar, asseverar , garantir , atestar , certificar"
AFIXAR,"colar , pregar , segurar , grudar , fixar, aplicar , apor , sobrepor , pegar , chumbar, soldar , ligar , atar, prender"
AFLIÇÃO,"pesar , desgosto , mágoa , tristeza, pesadume , pesadelo , inquietação , agonia , consternação, opressão , angústia , amargura , ansiedade, transe , tormento , suplício , tortura, dor, sofrimento , padecimento , pena , tribulação , trabalhos , incômodos , aflito , pesaroso , desgostoso , magoado , triste , inquieto , agoniado , consternado , angustiado, amargurado , ansioso , supliciado , atormentado , torturado , doloroso , dorido , dolorido , penalizado , atribulado , incomodado"
AFLUÊNCIA,"concurso , concorrência , multidão , turba , ajuntamento , reunião , assembleia , aglomeração , agrupamento , turbamulta , tropel"
AFORA,exceto
AFIADO,"amolado , aguçado , agudo , cortante , talhante , incisivo"
